canal,category,composition,date,final_Price,homogenized_category,homogenized_clothing,homogenized_color,homogenized_subcategory,image,item,item_characteristics,made_in,marca,modelo,price,sale_price,sales_flag,sku,stock,subcategory,subcategory2,subcategory3,upc,upc_wm,upc_wm2,url_sku
Chevignon,Kids,Prenda: 98% Algodon 2% Elastano,24/10/2023,76930,,,,,https://chevignon.vtexassets.com/arquivos/ids/1324323/63_831E100_021300_0.jpg?v=638215962062170000,"Pantalón de Niño, Tipo Chino","Descripción:  Pantalón de niño, tipo chino. Pretina con botón y pasadores, aletilla con cierre, bolsillos frontales en diagonal, relojera en diagonal ybolsillos traseros de ribete. Cintura interna con elástico ajustable. Elaborado en mezcla de algodón y elastano para proporcionar comodidad. Marquilla tejida sobre bolsillo trasero. Detalle de presillas decorativas rojas en la relojera. | Lavado PRENDALAVADO: Temperatura máxima de lavado  30 ºC.  Proceso moderado.BLANQUEADO: No usar blanqueador.SECADO: No secar en máquina.SECADO: Secado en tendedero a la sombra.PLANCHADO: Planchar a una temperatura máxima de la base de 110 ºC, sin vapor.   Planchar con vapor puede causar  daño irreversible.CUIDADO TEXTIL PROFESIONAL: No limpieza en seco.OTROS: Lavar por el revés.OTROS: Planchar solo por el revés.OTROS: No planchar los accesorios. | Composición : Prenda: 98% Algodon 2% Elastano",Colombia,Chevignon,Azul,109900,76930,30.0,63_831E100_021300,4,Ropa Ninos,Jeans,,63_831E100_021300_Azul_4,63_831E100_021300,63_831E100_021300,www.chevignon.com.co
Chevignon,Kids,Prenda: 98% Algodon 2% Elastano,24/10/2023,76930,,,,,https://chevignon.vtexassets.com/arquivos/ids/1324323/63_831E100_021300_0.jpg?v=638215962062170000,"Pantalón de Niño, Tipo Chino","Descripción:  Pantalón de niño, tipo chino. Pretina con botón y pasadores, aletilla con cierre, bolsillos frontales en diagonal, relojera en diagonal ybolsillos traseros de ribete. Cintura interna con elástico ajustable. Elaborado en mezcla de algodón y elastano para proporcionar comodidad. Marquilla tejida sobre bolsillo trasero. Detalle de presillas decorativas rojas en la relojera. | Lavado PRENDALAVADO: Temperatura máxima de lavado  30 ºC.  Proceso moderado.BLANQUEADO: No usar blanqueador.SECADO: No secar en máquina.SECADO: Secado en tendedero a la sombra.PLANCHADO: Planchar a una temperatura máxima de la base de 110 ºC, sin vapor.   Planchar con vapor puede causar  daño irreversible.CUIDADO TEXTIL PROFESIONAL: No limpieza en seco.OTROS: Lavar por el revés.OTROS: Planchar solo por el revés.OTROS: No planchar los accesorios. | Composición : Prenda: 98% Algodon 2% ElastanoPrenda: 98% Algodon 2% Elastano",Colombia,Chevignon,Azul,109900,76930,30.0,63_831E100_021300,12,Ropa Ninos,Jeans,,63_831E100_021300_Azul_12,63_831E100_021300,63_831E100_021300,www.chevignon.com.co
Chevignon,Kids,Prenda: 98% Algodon 2% Elastomero,24/10/2023,62930,,,,,https://chevignon.vtexassets.com/arquivos/ids/1289643/63_801E100_021300_0.jpg?v=638182920597600000,"Camiseta de Niño Tipo Polo, Regular Fit Manga Corta - Diseño Básico Fondo Entero","Descripción:  Camiseta de niño tipo polo, regular fit (silueta recta). Diseño básico fondo entero. Manga corta, cuello y puños tejidos tono a tono y perilla de caja con botones tono a tono. Elaborada en mezcla de algodón y elastano para proporcionar comodidad. Bordado de pato multicolor en el frente. Bordado de marca tono a tono, en la manga. | Lavado PRENDALAVADO: Temperatura máxima de lavado  30 ºC.  Proceso muy moderado.BLANQUEADO: No usar blanqueador.SECADO: No secar en máquina.SECADO: Secado en tendedero a la sombra.PLANCHADO: Planchar a una temperatura máxima de la base de 110 ºC, sin vapor.   Planchar con vapor puede causar  daño irreversible.CUIDADO TEXTIL PROFESIONAL: No limpieza en seco.OTROS: Lavar separadamente.OTROS: Lavar por el revés.OTROS: No remojar.OTROS: No retorcer ni  exprimir.OTROS: Planchar solo por el revés.OTROS: No planchar los accesorios. | Composición : Prenda: 98% Algodon 2% Elastomero",Colombia,Chevignon,Azul,89900,62930,30.0,63_801E100_021300,12,Ropa Ninos,Camisetas,,63_801E100_021300_Azul_12,63_801E100_021300,63_801E100_021300,www.chevignon.com.co
Chevignon,Kids,Prenda: 100% Algodon,24/10/2023,48930,,,,,https://chevignon.vtexassets.com/arquivos/ids/1310346/63_841E102_101200_0.jpg?v=638209341065800000,"Camiseta de Niño, Cuello Redondo - Rayas Bicolor","Descripción:  Camiseta de niño, regular fit (silueta recta). Manga corta, cuello redondo en rib. Elaborada en 100% algodón. Diseño a rayas. Bordado de pato en el frente.  Diseño básico de la marca, fundamental como prenda de fondo de armario. | Lavado PRENDALAVADO: Temperatura máxima de lavado  30 ºC.  Proceso muy moderado.BLANQUEADO: No usar blanqueador.SECADO: No secar en máquina.SECADO: Secado en tendedero a la sombra.PLANCHADO: Planchar a una temperatura máxima de la base de 110 ºC, sin vapor.   Planchar con vapor puede causar  daño irreversible.CUIDADO TEXTIL PROFESIONAL: No limpieza en seco.OTROS: Lavar separadamente.OTROS: Lavar por el revés.OTROS: No remojar.OTROS: No retorcer ni  exprimir.OTROS: Planchar solo por el revés.OTROS: No planchar los accesorios. | Composición : Prenda: 100% Algodon",Colombia,Chevignon,Verde,69900,48930,30.0,63_841E102_101200,4,Ropa Ninos,Camisetas,,63_841E102_101200_Verde_4,63_841E102_101200,63_841E102_101200,www.chevignon.com.co
Chevignon,Kids,Prenda: 100% Algodon,24/10/2023,48930,,,,,https://chevignon.vtexassets.com/arquivos/ids/1310346/63_841E102_101200_0.jpg?v=638209341065800000,"Camiseta de Niño, Cuello Redondo - Rayas Bicolor","Descripción:  Camiseta de niño, regular fit (silueta recta). Manga corta, cuello redondo en rib. Elaborada en 100% algodón. Diseño a rayas. Bordado de pato en el frente.  Diseño básico de la marca, fundamental como prenda de fondo de armario. | Lavado PRENDALAVADO: Temperatura máxima de lavado  30 ºC.  Proceso muy moderado.BLANQUEADO: No usar blanqueador.SECADO: No secar en máquina.SECADO: Secado en tendedero a la sombra.PLANCHADO: Planchar a una temperatura máxima de la base de 110 ºC, sin vapor.   Planchar con vapor puede causar  daño irreversible.CUIDADO TEXTIL PROFESIONAL: No limpieza en seco.OTROS: Lavar separadamente.OTROS: Lavar por el revés.OTROS: No remojar.OTROS: No retorcer ni  exprimir.OTROS: Planchar solo por el revés.OTROS: No planchar los accesorios. | Composición : Prenda: 100% AlgodonPrenda: 100% Algodon",Colombia,Chevignon,Verde,69900,48930,30.0,63_841E102_101200,12,Ropa Ninos,Camisetas,,63_841E102_101200_Verde_12,63_841E102_101200,63_841E102_101200,www.chevignon.com.co
Chevignon,Kids,Prenda: 65% Algodon 35% Poliester,24/10/2023,109900,,,,,https://chevignon.vtexassets.com/arquivos/ids/1353659/63_832E000_021300_0.jpg?v=638237433583000000,"Pantalón de Niño, Tipo Jogger - Sudadera","Descripción:  Pantalón de niño, tipo jogger. Diseño con estética de sudadera. Pretina con elástico y cordón para ajustar, bolsillos diagonales en el frente, bolsillo trasero de ribete y bota ajustada con elástico. Elaborado en tela con textura de burda (tejido de punto pesado) en mezcla de algodón y poliéster para el efecto jaspeado de la tela. | Lavado PRENDALAVADO: Temperatura máxima de lavado  30 ºC.  Proceso muy moderado.BLANQUEADO: No usar blanqueador.SECADO: No secar en máquina.SECADO: Secado en tendedero a la sombra.PLANCHADO: Planchar a una temperatura máxima de la base de 110 ºC, sin vapor.   Planchar con vapor puede causar  daño irreversible.CUIDADO TEXTIL PROFESIONAL: No limpieza en seco.OTROS: Lavar separadamente.OTROS: Lavar por el revés.OTROS: No remojar.OTROS: No retorcer ni  exprimir.OTROS: Planchar solo por el revés.OTROS: No planchar los accesorios. | Composición : Prenda: 65% Algodon 35% Poliester",Colombia,Chevignon,Azul,109900,109900,,63_832E000_021300,4,Ropa Ninos,Jeans,,63_832E000_021300_Azul_4,63_832E000_021300,63_832E000_021300,www.chevignon.com.co
Chevignon,Kids,Prenda: 65% Algodon 35% Poliester,24/10/2023,109900,,,,,https://chevignon.vtexassets.com/arquivos/ids/1353659/63_832E000_021300_0.jpg?v=638237433583000000,"Pantalón de Niño, Tipo Jogger - Sudadera","Descripción:  Pantalón de niño, tipo jogger. Diseño con estética de sudadera. Pretina con elástico y cordón para ajustar, bolsillos diagonales en el frente, bolsillo trasero de ribete y bota ajustada con elástico. Elaborado en tela con textura de burda (tejido de punto pesado) en mezcla de algodón y poliéster para el efecto jaspeado de la tela. | Lavado PRENDALAVADO: Temperatura máxima de lavado  30 ºC.  Proceso muy moderado.BLANQUEADO: No usar blanqueador.SECADO: No secar en máquina.SECADO: Secado en tendedero a la sombra.PLANCHADO: Planchar a una temperatura máxima de la base de 110 ºC, sin vapor.   Planchar con vapor puede causar  daño irreversible.CUIDADO TEXTIL PROFESIONAL: No limpieza en seco.OTROS: Lavar separadamente.OTROS: Lavar por el revés.OTROS: No remojar.OTROS: No retorcer ni  exprimir.OTROS: Planchar solo por el revés.OTROS: No planchar los accesorios. | Composición : Prenda: 65% Algodon 35% PoliesterPrenda: 65% Algodon 35% Poliester",Colombia,Chevignon,Azul,109900,109900,,63_832E000_021300,6,Ropa Ninos,Jeans,,63_832E000_021300_Azul_6,63_832E000_021300,63_832E000_021300,www.chevignon.com.co
Chevignon,Kids,Prenda: 99% Algodon 1% Elastano,24/10/2023,97930,,,,,https://chevignon.vtexassets.com/arquivos/ids/1287978/63_881E100_021200_0.jpg?v=638182907320200000,"Buzo de Niño, Cerrado con Capucha - Esencial Bolsillo Canguro","Descripción:  Buzo de niño, cerrado con capucha. Cuello con capucha ajustable, puños y fajón en tejido rib tono a tono, y bolsillo canguro. Elaborado en tela burda (tejido de punto pesado), 100% algodón. Bordado de pato tono a tono, en el frente. | Lavado PRENDALAVADO: Temperatura máxima de lavado  30 ºC.  Proceso muy moderado.BLANQUEADO: No usar blanqueador.SECADO: No secar en máquina.SECADO: Secado en tendedero a la sombra.PLANCHADO: Planchar a una temperatura máxima de la base de 110 ºC, sin vapor.   Planchar con vapor puede causar  daño irreversible.CUIDADO TEXTIL PROFESIONAL: No limpieza en seco.OTROS: Lavar separadamente.OTROS: Lavar por el revés.OTROS: No remojar.OTROS: No retorcer ni  exprimir.OTROS: Planchar solo por el revés.OTROS: No planchar los accesorios. | Composición : Prenda: 99% Algodon 1% Elastano",Colombia,Chevignon,Azul,139900,97930,30.0,63_881E100_021200,12,Ropa Ninos,Buzos,,63_881E100_021200_Azul_12,63_881E100_021200,63_881E100_021200,www.chevignon.com.co
Chevignon,Women,Otros: 56% Poliester 44% Algodon Prenda: 99% Algodon 1% Elastomero,24/10/2023,229900,,,,,https://chevignon.vtexassets.com/arquivos/ids/1327088/63_430C009_030000_0.jpg?v=638219310126970000,"Jean de Mujer Cosmo Pulse, High Rise Bota Skinny - Blanco","Descripción:  Jean de mujer, Cosmo: high rise, bota skinny. Color blanco. Silueta de tiro alto con bota ajustada (13 - 15 cms). Pretina tradicional con botón metálico, aletilla con cierre, bolsillos delanteros, relojera, garra de cartón - cuero en la pretina posterior, bolsillos traseros de parche y bota ajustada. Elaborado en denim con tecnología Pulse que proporciona un look tradicional con buena elasticidad. | Lavado PRENDALAVADO: Temperatura máxima de lavado  40 ºC.  Proceso normal.BLANQUEADO: No usar blanqueador.SECADO: No secar en máquina.SECADO: Secado en tendedero a la sombra.PLANCHADO: Planchar a una temperatura máxima de la base  de 150 ºC.CUIDADO TEXTIL PROFESIONAL: No limpieza en seco.OTROS: Lavar con colores similares.OTROS: Lavar por el revés.OTROS: No remojar.OTROS: No planchar los accesorios. | Composición : Otros: 56% Poliester 44% Algodon Prenda: 99% Algodon 1% Elastomero",Colombia,Chevignon,Blanco,229900,229900,,63_430C009_030000,4,Ropa Mujer,Jeans Mujer,High Rise,63_430C009_030000_Blanco_4,63_430C009_030000,63_430C009_030000,www.chevignon.com.co
Chevignon,Kids,Prenda: 68% Algodon 28% Poliester 3% Rayon 1% Elastano,24/10/2023,129900,,,,,https://chevignon.vtexassets.com/arquivos/ids/1364384/63_832E001_021300_0.jpg?v=638259837084300000,"Jean de Niño 5 Bolsillos, Silueta Ajustada - Azul Oscuro","Descripción:  Jean de niño, silueta ajustada. Color azul, tono oscurro. Diseño cinco bolsillos. Pretina con botón metálico, aletilla con cierre, bolsillos delanteros, relojera, garra de cuero en la pretina posterior y bolsillos traseros de parche. Cintura interna con elástico ajustable. Lavado oscuro con bigotes sutiles. Elaborado en denim con elastano que proporciona a la prenda un look tradicional con elongación. Detalle de hilo rojo en ojal del frente. | Lavado PRENDALAVADO: Temperatura máxima de lavado  40 ºC.  Proceso normal.BLANQUEADO: No usar blanqueador.SECADO: No secar en máquina.SECADO: Secado en tendedero a la sombra.PLANCHADO: No planchar.CUIDADO TEXTIL PROFESIONAL: No limpieza en seco.OTROS: Lavar separadamente.OTROS: Lavar con colores similares.OTROS: Lavar por el revés.OTROS: No remojar. | Composición : Prenda: 68% Algodon 28% Poliester 3% Rayon 1% Elastano",Colombia,Chevignon,Azul,129900,129900,,63_832E001_021300,4,Ropa Ninos,Jeans,,63_832E001_021300_Azul_4,63_832E001_021300,63_832E001_021300,www.chevignon.com.co
